run_id,total_rows,affected_rows,unknown_rows,consistent_rows,diff_rows,preview_profit_known_rows,final_profit_known_rows,profit_diff_min,profit_diff_median,profit_diff_max,coverCore_from_preview,coverNice_from_preview,V_from_preview
2026-03-19T03-18-08-525Z,2,2,0,0,2,2,2,0,0,0,0,0,0
2026-03-19T04-34-04-538Z,1,1,0,0,1,1,1,0,0,0,0,0,0
2026-03-19T05-13-03-216Z,10,10,0,0,10,10,10,0,0,0,0,0,0
2026-03-19T05-32-00-459Z,1,1,0,0,1,1,1,0,0,0,0,0,0
2026-03-19T06-17-43-288Z,10,10,0,0,10,10,10,0,0,0,0,0,0
2026-03-19T06-51-52-084Z,2,2,0,0,2,2,2,0,0,0,2,2,0
2026-03-19T07-19-34-070Z,10,10,0,0,10,10,10,0,0,0,7,1,0
2026-03-19T07-57-03-195Z,2,2,0,0,2,2,2,0,0,0,2,2,0
2026-03-19T08-10-01-467Z,2,2,0,0,2,2,2,0,0,0,2,1,0
2026-03-19T08-17-09-088Z,10,10,0,0,10,10,10,0,0,0,9,7,0
2026-03-19T08-35-23-209Z,2,2,0,0,2,2,2,0,0,0,2,2,0
2026-03-19T08-39-56-759Z,2,2,0,0,2,2,2,0,0,0,2,2,0
2026-03-19T08-42-54-220Z,10,10,0,0,10,10,10,0,0,0,8,1,0
2026-03-19T11-10-18-474Z,2,2,0,0,2,2,2,0,0,0,2,1,0
2026-03-19T12-02-59-114Z,2,2,0,0,2,2,2,0,0,0,2,2,0
2026-03-19T12-25-03-149Z,10,10,0,0,10,10,10,0,0,0,5,7,0
2026-03-19T13-14-09-408Z,2,2,0,0,2,2,2,0,0,0,1,1,0
2026-03-19T13-50-27-533Z,2,2,0,0,2,2,2,0,0,0,2,2,0
2026-03-19T14-50-28-204Z,10,10,0,0,10,10,10,0,0,0,5,7,0
2026-03-19T17-02-38-468Z,10,10,0,0,10,10,10,0,0,0,7,2,0
2026-03-20T01-22-43-538Z,1,1,0,0,1,1,1,0,0,0,1,1,0
2026-03-20T02-32-05-223Z,10,10,0,0,10,10,10,0,0,0,9,2,0
2026-03-20T02-40-29-029Z,10,10,0,0,10,10,10,0,0,0,7,2,0
2026-03-20T02-48-58-826Z,10,10,0,0,10,10,10,0,0,0,8,10,0
2026-03-20T02-57-09-589Z,10,10,0,0,10,10,10,0,0,0,6,1,0
2026-03-20T03-04-12-798Z,10,10,0,0,10,10,10,0,0,0,8,9,0
2026-03-20T03-05-33-415Z,10,10,0,0,10,10,10,0,0,0,1,1,0
2026-03-20T03-12-53-932Z,10,10,0,0,10,10,10,0,0,0,5,1,0
2026-03-20T03-13-45-758Z,10,10,0,0,10,10,10,0,0,0,9,2,0
2026-03-20T03-21-17-786Z,10,10,0,0,10,10,10,0,0,0,8,9,0
2026-03-20T03-22-08-030Z,10,10,0,0,10,10,10,0,0,0,7,9,0
2026-03-20T03-29-54-681Z,10,10,0,0,10,10,10,0,0,0,7,1,0
2026-03-20T03-30-45-476Z,10,10,0,0,10,10,10,0,0,0,8,10,0
