batch,info,cell,team,x,y,same_side,endorsed,spoken_endorse
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:01,TBN04,XTBN02,1,1,0
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:01,TBN04,TBN45,0,0,0
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:01,TBN04,TBN43,0,0,0
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:01,XTBN02,TBN04,1,1,0
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:01,XTBN02,TBN45,0,0,0
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:01,XTBN02,TBN43,0,0,0
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:01,TBN45,TBN04,0,0,0
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:01,TBN45,XTBN02,0,0,0
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:01,TBN45,TBN43,1,1,0
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:01,TBN43,TBN04,0,0,0
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:01,TBN43,XTBN02,0,0,0
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:01,TBN43,TBN45,1,1,0
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:02,XTBN07,XTBN04,1,0,0
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:02,XTBN07,XTBN13,0,1,0
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:02,XTBN07,XTBN11,0,0,0
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:02,XTBN04,XTBN07,1,0,0
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:02,XTBN04,XTBN13,0,0,0
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:02,XTBN04,XTBN11,0,1,0
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:02,XTBN13,XTBN07,0,1,0
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:02,XTBN13,XTBN04,0,0,0
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:02,XTBN13,XTBN11,1,0,0
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:02,XTBN11,XTBN07,0,0,0
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:02,XTBN11,XTBN04,0,1,0
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:02,XTBN11,XTBN13,1,0,0
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:03,XTBN01,TBN01,1,1,0
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:03,XTBN01,TBN44,0,0,0
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:03,XTBN01,XTBN09,0,0,0
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:03,TBN01,XTBN01,1,1,0
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:03,TBN01,TBN44,0,0,0
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:03,TBN01,XTBN09,0,0,0
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:03,TBN44,XTBN01,0,0,0
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:03,TBN44,TBN01,0,0,0
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:03,TBN44,XTBN09,1,1,1
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:03,XTBN09,XTBN01,0,0,0
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:03,XTBN09,TBN01,0,0,0
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:03,XTBN09,TBN44,1,1,0
faultline_design_r1_20260817,info,aligned,20260817-faultline-design-r1:04,XTBN06,XTBN05,1,0,0
