sample,dv,info,info_tot,e2,e3,e5,ehalf
Roleplay frozen (201),n_lines,-0.121 (p=0.049),+0.249 (p=0.000),-0.089 (p=0.123),-0.088 (p=0.159),-0.124 (p=0.031),-0.097 (p=0.099)
Roleplay frozen (201),profit,+0.252 (p=0.000),+0.160 (p=0.021),+0.049 (p=0.545),+0.140 (p=0.086),+0.227 (p=0.001),+0.215 (p=0.002)
Replication designed (231),n_lines,-0.129 (p=0.046),+0.289 (p=0.000),-0.075 (p=0.215),-0.086 (p=0.132),-0.016 (p=0.783),-0.088 (p=0.131)
Replication designed (231),profit,+0.247 (p=0.000),+0.169 (p=0.012),+0.168 (p=0.014),+0.132 (p=0.043),+0.183 (p=0.003),+0.140 (p=0.022)
Roleplay pooled (432),n_lines,-0.126 (p=0.005),+0.269 (p=0.000),-0.081 (p=0.057),-0.087 (p=0.038),-0.066 (p=0.106),-0.092 (p=0.027)
Roleplay pooled (432),profit,+0.247 (p=0.000),+0.164 (p=0.001),+0.118 (p=0.022),+0.135 (p=0.008),+0.197 (p=0.000),+0.169 (p=0.000)
Benchmark simple (210),n_lines,+0.115 (p=0.113),+0.559 (p=0.000),-0.016 (p=0.827),-0.021 (p=0.747),+0.142 (p=0.055),+0.135 (p=0.048)
Benchmark simple (210),profit,+0.226 (p=0.001),+0.100 (p=0.138),+0.092 (p=0.190),+0.146 (p=0.061),+0.217 (p=0.004),+0.200 (p=0.004)
Benchmark layered (210),n_lines,-0.001 (p=0.988),+0.580 (p=0.000),-0.091 (p=0.233),-0.086 (p=0.271),+0.009 (p=0.923),+0.007 (p=0.941)
Benchmark layered (210),profit,+0.199 (p=0.015),+0.062 (p=0.376),+0.125 (p=0.113),+0.132 (p=0.091),+0.146 (p=0.092),+0.185 (p=0.041)
