source_chain_key,persona_id,persona_label,condition,rep,baseline_cards,chat_cards,baseline_price,chat_price,baseline_profit,chat_profit,baseline_loss,chat_loss,price_delta,profit_delta,card_delta,baseline_coverCore,chat_coverCore,baseline_coverNice,chat_coverNice,baseline_coverage_efficiency,chat_coverage_efficiency,baseline_COGS,chat_COGS,baseline_dCOGS,chat_dCOGS,baseline_nre_total_wan,chat_nre_total_wan,baseline_fixedCost,chat_fixedCost,baseline_q_to_breakeven,chat_q_to_breakeven,baseline_price_wtp_ratio,chat_price_wtp_ratio,baseline_double_squeeze,chat_double_squeeze,d4_attempts,d5_attempts
A|Q|1,A,草根老板,Q,1,9,8,3000,2600,-139604,505164,1,0,-400,644768,-1,0.3,0.3,0.5,0.5,0.03333333333333333,0.0375,882,999,282,399,141.42000000000002,132.48000000000002,2914200,2824800,0.9244486156733928,1.1083810164927634,0.5663476241717166,0.4908346076154877,1,0,10,1
A|Q|2,A,草根老板,Q,2,10,9,1000,2800,-4686200,-384388,1,1,1800,4301812,-1,0.3,0.3,0.5,0.5,0.03,0.03333333333333333,984,1125,384,525,187.32,165.23999999999998,3373200,3152400,,0.8330241187384044,0.18393849096862008,0.5150277747121362,0,1,11,1
A|Q|3,A,草根老板,Q,3,10,12,1500,4300,-1607122,1007544,1,0,2800,2614666,2,0.4,0.4,0.5,0.5,0.04,0.03333333333333333,1038,1218,438,618,164.34,199.08000000000004,3143400,3490800,0.3066810583416362,1.2522988505747126,0.2708852530068263,0.7765377252862354,1,0,10,1
A|S|1,A,草根老板,S,1,7,9,2900,4800,1230120,870235,0,0,1900,-359885,2,0.3333333333333333,0.5333333333333333,0.5,0.8,0.047619047619047616,0.05925925925925926,942,1602,342,1002,102.78,280.91999999999996,2527800,4309200,1.4119941491955144,1.157162726008345,0.588856400259909,0.9746588693957114,0,0,12,1
A|S|2,A,草根老板,S,2,8,11,2900,2000,1744617,4838842,0,0,-900,3094225,3,0.3,0.4,0.5,0.8,0.0375,0.03636363636363637,828,1083,228,483,123.60000000000001,187.8,2736000,3378000,1.5836614173228347,2.0844340204912974,0.5403995229576626,0.3726893261776983,0,0,10,1
A|S|3,A,草根老板,S,3,9,8,2900,2300,9122023,4434444,0,0,-600,-4687579,-1,0.5,0.4,0.5,0.5,0.05555555555555555,0.05,1083,993,483,393,149.76000000000005,116.82000000000001,2997600,2668200,3.7753095411507647,2.4278661546900713,0.540218322715249,0.42844901456726653,0,0,12,1
D|Q|1,D,二代接班人,Q,1,9,16,2900,4800,1076205,-2683776,0,1,1900,-3759981,7,0.42000000000000004,0.62,0.8,0.8,0.04666666666666667,0.03875,1569,2277,969,1677,255.54,495.17999999999995,4055400,6451800,1.1302853727775288,0.5587451302029937,0.5079965666438945,0.8408219034105838,0,0,10,1
D|Q|2,D,二代接班人,Q,2,9,10,3000,3900,-1665878,6454125,1,0,900,8120003,1,0.4,0.4800000000000001,0,0.8,0.044444444444444446,0.04800000000000001,1128,1512,528,912,159.12,255.84000000000003,3091200,4058400,0.4473875181422351,2.4597981204316044,0.5255136896316149,0.6831677965210994,1,0,10,1
D|Q|3,D,二代接班人,Q,3,8,14,3900,4800,-3283320,-853636,1,1,900,2429684,6,0.32000000000000006,0.6,0,0.8,0.04000000000000001,0.04285714285714286,1404,2088,804,1488,215.57999999999998,443.04,3655800,5930400,0.10024958402662229,0.8218200356869743,0.6831677965210994,0.8408219034105838,1,0,12,1
D|S|1,D,二代接班人,S,1,9,14,4900,4200,22044351,-4709096,0,1,-700,-26753447,5,0.6400000000000001,0.4800000000000001,0.8,0.8,0.07111111111111112,0.034285714285714294,1602,2247,1002,1647,261.96,466.32000000000005,4119600,6163200,6.073943661971831,0.22472897743920306,0.8583390263983044,0.7357191654842609,0,1,10,1
