chain_key,persona_id,persona_label,condition,rep,stored_price,replay_price,stored_profit,replay_profit,stored_loss,replay_loss,stored_cards,replay_cards,profit_delta
A|Q|1,A,草根老板,Q,1,3000,3000,-139604,-139604,1,1,9,9,0
A|Q|2,A,草根老板,Q,2,1000,1000,-4686200,-4686200,1,1,10,10,0
A|Q|3,A,草根老板,Q,3,1500,1500,-1607122,-1607122,1,1,10,10,0
A|S|1,A,草根老板,S,1,2900,2900,1230120,1230120,0,0,7,7,0
A|S|2,A,草根老板,S,2,2900,2900,1744617,1744617,0,0,8,8,0
A|S|3,A,草根老板,S,3,2900,2900,9122023,9122023,0,0,9,9,0
D|Q|1,D,二代接班人,Q,1,2900,2900,1076205,1076205,0,0,9,9,0
D|Q|2,D,二代接班人,Q,2,3000,3000,-1665878,-1665878,1,1,9,9,0
D|Q|3,D,二代接班人,Q,3,3900,3900,-3283320,-3283320,1,1,8,8,0
D|S|1,D,二代接班人,S,1,4900,4900,22044351,22044351,0,0,9,9,0
D|S|2,D,二代接班人,S,2,3800,3800,10756811,10756811,0,0,10,10,0
D|S|3,D,二代接班人,S,3,3200,3200,18978813,18978813,0,0,10,10,0
E|Q|1,E,体制转型者,Q,1,3800,3800,13521399,13521399,0,0,8,8,0
E|Q|2,E,体制转型者,Q,2,2800,2800,51926275,51926275,0,0,10,10,0
E|Q|3,E,体制转型者,Q,3,2800,2800,1388838,1388838,0,0,11,11,0
E|S|1,E,体制转型者,S,1,3800,3800,29423741,29423741,0,0,8,8,0
E|S|2,E,体制转型者,S,2,2900,2900,12764057,12764057,0,0,7,7,0
E|S|3,E,体制转型者,S,3,4800,4800,55109296,55109296,0,0,6,6,0
B|Q|1,B,职业经理人,Q,1,2900,2900,27287884,27287884,0,0,10,10,0
B|Q|2,B,职业经理人,Q,2,1000,1000,-3163273,-3163273,1,1,9,9,0
B|Q|3,B,职业经理人,Q,3,2900,2900,787255,787255,0,0,9,9,0
B|S|1,B,职业经理人,S,1,1600,1600,159999,159999,0,0,8,8,0
B|S|2,B,职业经理人,S,2,1800,1800,258494,258494,0,0,9,9,0
B|S|3,B,职业经理人,S,3,2900,2900,-4143648,-4143648,1,1,10,10,0
F|Q|1,F,销售铁军,Q,1,1200,1200,-4261972,-4261972,1,1,9,9,0
F|Q|2,F,销售铁军,Q,2,2900,2900,4826421,4826421,0,0,10,10,0
F|Q|3,F,销售铁军,Q,3,3900,3900,32630514,32630514,0,0,11,11,0
F|S|1,F,销售铁军,S,1,2500,2500,-1823278,-1823278,1,1,10,10,0
F|S|2,F,销售铁军,S,2,2900,2900,2520654,2520654,0,0,10,10,0
F|S|3,F,销售铁军,S,3,2900,2900,31831788,31831788,0,0,10,10,0
C|Q|1,C,技术创业者,Q,1,2000,2000,1505149,1505149,0,0,7,7,0
C|Q|2,C,技术创业者,Q,2,1500,1500,-1686406,-1686406,1,1,8,8,0
C|Q|3,C,技术创业者,Q,3,2400,2400,37595451,37595451,0,0,7,7,0
C|S|1,C,技术创业者,S,1,2200,2200,1745810,1745810,0,0,7,7,0
C|S|2,C,技术创业者,S,2,2900,2900,18895984,18895984,0,0,8,8,0
C|S|3,C,技术创业者,S,3,2800,2800,2464419,2464419,0,0,6,6,0
G|Q|1,G,互联网PM转型,Q,1,1900,1900,-83858,-83858,1,1,10,10,0
G|Q|2,G,互联网PM转型,Q,2,2800,2800,10208153,10208153,0,0,8,8,0
G|Q|3,G,互联网PM转型,Q,3,1500,1500,-1294037,-1294037,1,1,6,6,0
G|S|1,G,互联网PM转型,S,1,2900,2900,4759216,4759216,0,0,8,8,0
G|S|2,G,互联网PM转型,S,2,2900,2900,9830187,9830187,0,0,8,8,0
G|S|3,G,互联网PM转型,S,3,2900,2900,3749122,3749122,0,0,9,9,0
