source_chain_key,persona_id,persona_label,condition,rep,baseline_cards,chat_cards,baseline_price,chat_price,baseline_profit,chat_profit,baseline_loss,chat_loss,price_delta,profit_delta,card_delta,baseline_coverCore,chat_coverCore,baseline_coverNice,chat_coverNice,baseline_coverage_efficiency,chat_coverage_efficiency,baseline_COGS,chat_COGS,baseline_dCOGS,chat_dCOGS,baseline_nre_total_wan,chat_nre_total_wan,baseline_fixedCost,chat_fixedCost,baseline_q_to_breakeven,chat_q_to_breakeven,baseline_price_wtp_ratio,chat_price_wtp_ratio,baseline_double_squeeze,chat_double_squeeze,d4_attempts,d5_attempts
A|Q|1,A,草根老板,Q,1,9,13,3000,3400,-139604,4162331,1,0,400,4301935,4,0.3,0.52,0.5,0.8,0.03333333333333333,0.04,882,1506,282,906,141.42000000000002,275.1,2914200,4251000,0.9244486156733928,1.8433202357563852,0.5663476241717166,0.6418606407279455,1,0,10,1
A|Q|2,A,草根老板,Q,2,10,13,1000,2200,-4686200,5337950,1,0,1200,10024150,3,0.3,0.6400000000000001,0.5,0.5,0.03,0.04923076923076924,984,1251,384,651,187.32,233.76000000000002,3373200,3837600,,2.0454309179748416,0.18393849096862008,0.4046646801309642,0,0,10,1
A|Q|3,A,草根老板,Q,3,10,11,1500,4200,-1607122,24432570,1,0,2700,26039692,1,0.4,0.5800000000000001,0.5,0.8,0.04,0.052727272727272734,1038,1371,438,771,164.34,229.56,3143400,3795600,0.3066810583416362,7.075445173383318,0.2708852530068263,0.7584787084191137,1,0,10,1
A|S|1,A,草根老板,S,1,7,17,2900,3800,1230120,-2649194,0,1,900,-3879314,10,0.3333333333333333,0.75,0.5,0.8,0.047619047619047616,0.04411764705882353,942,2130,342,1530,102.78,447.6,2527800,5976000,1.4119941491955144,0.5230120481927711,0.588856400259909,0.7716049382716049,0,0,10,1
A|S|2,A,草根老板,S,2,8,12,2900,2600,1744617,5226390,0,0,-300,3481773,4,0.3,0.52,0.5,0.5,0.0375,0.043333333333333335,828,1149,228,549,123.60000000000001,210.72000000000003,2736000,3607200,1.5836614173228347,2.2728685612788633,0.5403995229576626,0.4844961240310078,0,0,10,1
A|S|3,A,草根老板,S,3,9,13,2900,4000,9122023,10775281,0,0,1100,1653258,4,0.5,0.5800000000000001,0.5,0.8,0.05555555555555555,0.04461538461538462,1083,1533,483,933,149.76000000000005,276.54,2997600,4265400,3.7753095411507647,3.343191196698762,0.540218322715249,0.7451287209865505,0,0,10,1
D|Q|1,D,二代接班人,Q,1,9,18,2900,3200,1076205,-9321544,0,1,300,-10397749,9,0.42000000000000004,0.7400000000000001,0.8,1,0.04666666666666667,0.04111111111111112,1569,2628,969,2028,255.54,582.3000000000001,4055400,7323000,1.1302853727775288,,0.5079965666438945,0.560547935607056,0,0,10,1
D|Q|2,D,二代接班人,Q,2,9,14,3000,3000,-1665878,9442082,1,0,0,11107960,5,0.4,0.68,0,0.8,0.044444444444444446,0.04857142857142858,1128,1743,528,1143,159.12,333.3,3091200,4833000,0.4473875181422351,2.5409629707332426,0.5255136896316149,0.5255136896316149,1,0,10,1
D|Q|3,D,二代接班人,Q,3,8,13,3900,4000,-3283320,3934332,1,0,100,7217652,5,0.32000000000000006,0.5800000000000001,0,0.8,0.04000000000000001,0.04461538461538462,1404,1845,804,1245,215.57999999999998,346.68,3655800,4966800,0.10024958402662229,1.6772843524761682,0.6831677965210994,0.70068491950882,1,0,10,1
D|S|1,D,二代接班人,S,1,9,21,4900,3200,22044351,-18031929,0,1,-1700,-40076280,12,0.6400000000000001,0.8800000000000001,0.8,1,0.07111111111111112,0.04190476190476191,1602,3237,1002,2637,261.96,779.2800000000001,4119600,9292800,6.073943661971831,,0.8583390263983044,0.560547935607056,0,0,10,1
D|S|2,D,二代接班人,S,2,10,19,3800,4600,10756811,-6668876,0,1,800,-17425687,9,0.5800000000000001,0.8800000000000001,0.8,0.8,0.05800000000000001,0.04631578947368422,1608,3090,1008,2490,273.66,696.3000000000002,4236600,8463000,3.3182883939038685,0.18082436513675615,0.6656506735333789,0.8057876574351429,0,0,10,1
D|S|3,D,二代接班人,S,3,10,19,3200,4200,18978813,-4190662,0,1,1000,-23169475,9,0.6400000000000001,0.7400000000000001,0.8,0.8,0.06400000000000002,0.03894736842105264,1692,2634,1092,2034,322.86,583.14,4728600,7331400,4.421470279982033,0.38728974593567456,0.560547935607056,0.7357191654842609,0,0,10,1
E|Q|1,E,体制转型者,Q,1,8,11,3800,4800,13521399,4309182,0,0,1000,-9212217,3,0.5333333333333333,0.5333333333333333,0.8,0.8,0.06666666666666667,0.048484848484848485,1326,1422,726,822,187.56000000000003,251.82000000000002,3375600,4018200,4.777213761985336,2.0218253968253967,0.6133088009812941,0.7747058538711084,0,0,10,1
E|Q|2,E,体制转型者,Q,2,10,17,2800,4600,51926275,-30463,0,1,1800,-51956738,7,0.8500000000000001,0.825,0.8,1,0.085,0.048529411764705876,1572,2694,972,2094,269.46,595.1399999999999,4194600,7451400,11.713790446841294,0.9417428198433421,0.4463574047505181,0.7333014506615655,0,0,10,1
E|Q|3,E,体制转型者,Q,3,11,16,2800,4600,1388838,-4462924,0,1,1800,-5851762,5,0.4800000000000001,0.4800000000000001,0.8,1,0.04363636363636365,0.030000000000000006,1662,2406,1062,1806,308.16,502.2,4581600,6522000,1.115094159258197,0.30201664532650446,0.49203085736376895,0.8083364085261919,0,1,10,1
E|S|1,E,体制转型者,S,1,8,14,3800,4700,29423741,1531350,0,0,900,-27892391,6,0.64,0.68,0.8,0.8,0.08,0.04857142857142858,1410,2151,810,1551,207.42000000000002,401.64,3574200,5516400,8.791751527494908,1.2356283422459893,0.6133088009812941,0.7585661485821269,0,0,10,1
E|S|2,E,体制转型者,S,2,7,15,2900,3400,12764057,-944103,0,1,500,-13708160,8,0.5333333333333333,0.6166666666666667,0.8,0.8,0.07619047619047618,0.04111111111111111,1278,1911,678,1311,181.98,376.62,3319800,5266200,4.388978930307942,0.7438728463965057,0.49216774434431376,0.577024251989885,0,0,10,1
E|S|3,E,体制转型者,S,3,6,11,4800,5000,55109296,15855527,0,0,200,-39253769,5,0.64,0.72,0.8,1,0.10666666666666667,0.06545454545454545,1197,2100,597,1500,152.39999999999998,398.22,3024000,5482200,18.4976167778837,3.7423529411764704,0.7699340743948799,0.8020146608279999,0,0,11,1
B|Q|1,B,职业经理人,Q,1,10,11,2900,4000,27287884,1703614,0,0,1100,-25584270,1,0.68,0.4800000000000001,0.5,0.8,0.068,0.04363636363636365,1266,1776,666,1176,203.69999999999996,351.65999999999997,3537000,5016600,7.951438848920863,1.2639668211758965,0.5171276235310901,0.7132794807325381,0,0,12,1
B|Q|2,B,职业经理人,Q,2,9,11,1000,2800,-3163273,4207169,1,0,1800,7370442,2,0.4,0.46,0.5,0.5,0.044444444444444446,0.04181818181818182,813,1017,213,417,144.66,196.86,2946600,3468600,,2.115828910396503,0.17502406580904875,0.49006738426533647,0,0,11,1
B|Q|3,B,职业经理人,Q,3,9,15,2900,2400,787255,-8798048,0,1,-500,-9585303,6,0.32000000000000006,0.5800000000000001,0.8,0.8,0.03555555555555556,0.03866666666666667,1353,2172,753,1572,216.36,467.1000000000001,3663600,6171000,1.1238501234013911,,0.5075697908462413,0.420057757941717,0,0,10,1
B|S|1,B,职业经理人,S,1,8,14,1600,3900,159999,-1944247,0,1,2300,-2104246,6,0.42000000000000004,0.46,0.5,0.5,0.052500000000000005,0.032857142857142856,1041,1554,441,954,133.74,292.26000000000005,2837400,4422600,0.726773506668161,0.5406075635461872,0.27129219865371246,0.6612747342184242,0,1,10,1
B|S|2,B,职业经理人,S,2,9,14,1800,2900,258494,756121,0,0,1100,497627,5,0.3,0.6,0.5,0.8,0.03333333333333333,0.04285714285714286,792,1800,192,1200,143.58,351.48,2935800,5014800,1.015773470163436,0.9662753308906005,0.3052037234854265,0.49171711005985386,0,0,10,1
B|S|3,B,职业经理人,S,3,10,18,2900,4000,-4143648,-5864893,1,1,1100,-1721245,8,0.4800000000000001,0.68,0,0.8,0.04800000000000001,0.03777777777777778,1692,2601,1092,2001,310.26,591.1199999999999,4602600,7411200,0.09307450157397691,0.18207267833109017,0.5075697908462413,0.700096263236195,1,0,10,1
F|Q|1,F,销售铁军,Q,1,9,17,1200,1100,-4261972,-22342748,1,1,-100,-18080776,8,0.3,0.5800000000000001,0.5,0.8,0.03333333333333333,0.03411764705882353,1122,1914,522,1314,156.60000000000002,438.35999999999996,3066000,5883600,,,0.21264153952474615,0.1949214112310173,0,0,10,1
F|Q|2,F,销售铁军,Q,2,10,17,2900,4000,4826421,-4414463,0,1,1100,-9240884,7,0.42000000000000004,0.7200000000000001,0.8,0.8,0.042,0.04235294117647059,1443,2562,843,1962,236.82,588.0599999999998,3868200,7380600,2.040302743614002,0.3548750815975313,0.5138837205181366,0.7088051317491538,0,0,12,1
F|Q|3,F,销售铁军,Q,3,11,14,3900,4800,32630514,-1370915,0,1,900,-34001429,3,0.7400000000000001,0.6400000000000001,0.8,0.8,0.06727272727272728,0.04571428571428572,1728,2313,1128,1713,323.15999999999997,490.32000000000005,4731600,6403200,7.313685808246901,0.7469855305466238,0.691085003455425,0.8505661580989846,0,0,11,1
