source_chain_key,persona_id,persona_label,condition,rep,baseline_cards,chat_cards,baseline_price,chat_price,baseline_profit,chat_profit,baseline_loss,chat_loss,price_delta,profit_delta,card_delta,baseline_coverCore,chat_coverCore,baseline_coverNice,chat_coverNice,baseline_coverage_efficiency,chat_coverage_efficiency,baseline_COGS,chat_COGS,baseline_dCOGS,chat_dCOGS,baseline_nre_total_wan,chat_nre_total_wan,baseline_fixedCost,chat_fixedCost,baseline_q_to_breakeven,chat_q_to_breakeven,baseline_price_wtp_ratio,chat_price_wtp_ratio,baseline_double_squeeze,chat_double_squeeze,d4_attempts,d5_attempts
A|Q|1,A,草根老板,Q,1,9,14,3000,1200,-139604,-5554366,1,1,-1800,-5414762,5,0.3,0.4,0.5,0.5,0.03333333333333333,0.028571428571428574,882,1203,282,603,141.42000000000002,224.1,2914200,3741000,0.9244486156733928,,0.5663476241717166,0.22653904966868663,1,0,10,1
A|Q|2,A,草根老板,Q,2,10,16,1000,1500,-4686200,-6861265,1,1,500,-2175065,6,0.3,0.5,0.5,0.5,0.03,0.03125,984,1443,384,843,187.32,309.06000000000006,3373200,4590600,,,0.18393849096862008,0.2759077364529301,0,0,10,1
A|Q|3,A,草根老板,Q,3,10,11,1500,1500,-1607122,-8897340,1,1,0,-7290218,1,0.4,0.62,0.5,0.8,0.04,0.056363636363636366,1038,1293,438,693,164.34,219.18000000000004,3143400,3691800,0.3066810583416362,,0.2708852530068263,0.2708852530068263,1,0,10,1
A|S|1,A,草根老板,S,1,7,15,2900,1800,1230120,-4633490,0,1,-1100,-5863610,8,0.3333333333333333,0.5,0.5,0.5,0.047619047619047616,0.03333333333333333,942,1425,342,825,102.78,293.22,2527800,4432200,1.4119941491955144,,0.588856400259909,0.3654970760233918,0,0,10,1
A|S|2,A,草根老板,S,2,8,14,2900,1800,1744617,-2506204,0,1,-1100,-4250821,6,0.3,0.4,0.5,0.5,0.0375,0.028571428571428574,828,1203,228,603,123.60000000000001,224.1,2736000,3741000,1.5836614173228347,0.25682738025069746,0.5403995229576626,0.3354203935599285,0,1,10,1
A|S|3,A,草根老板,S,3,9,16,2900,1900,9122023,-3930268,0,1,-1000,-13052291,7,0.5,0.5,0.5,0.5,0.05555555555555555,0.03125,1083,1398,483,798,149.76000000000005,291.96000000000004,2997600,4419600,3.7753095411507647,0.04369872135574168,0.540218322715249,0.3539361424686115,0,1,10,1
D|Q|1,D,二代接班人,Q,1,9,18,2900,2900,1076205,-10052045,0,1,0,-11128250,9,0.42000000000000004,0.7400000000000001,0.8,1,0.04666666666666667,0.04111111111111112,1569,2418,969,1818,255.54,528.96,4055400,6789600,1.1302853727775288,,0.5079965666438945,0.5079965666438945,0,0,10,1
D|Q|2,D,二代接班人,Q,2,9,10,3000,3900,-1665878,2010294,1,0,900,3676172,1,0.4,0.42000000000000004,0,0.8,0.044444444444444446,0.042,1128,1572,528,972,159.12,253.62000000000003,3091200,4036200,0.4473875181422351,1.42828418230563,0.5255136896316149,0.6831677965210994,1,0,10,1
D|Q|3,D,二代接班人,Q,3,8,16,3900,2900,-3283320,-5366031,1,1,-1000,-2082711,8,0.32000000000000006,0.6400000000000001,0,0.8,0.04000000000000001,0.04000000000000001,1404,2172,804,1572,215.57999999999998,445.9800000000001,3655800,5959800,0.10024958402662229,0.004669281853779395,0.6831677965210994,0.5079965666438945,1,0,10,1
D|S|1,D,二代接班人,S,1,9,12,4900,4200,22044351,35510498,0,0,-700,13466147,3,0.6400000000000001,0.6400000000000001,0.8,1,0.07111111111111112,0.053333333333333344,1602,1617,1002,1017,261.96,296.88000000000005,4119600,4468800,6.073943661971831,8.410836762688614,0.8583390263983044,0.7357191654842609,0,0,10,1
D|S|2,D,二代接班人,S,2,10,18,3800,3900,10756811,1639968,0,0,100,-9116843,8,0.5800000000000001,0.8000000000000002,0.8,0.8,0.05800000000000001,0.04444444444444445,1608,2295,1008,1695,273.66,486.6,4236600,6366000,3.3182883939038685,1.1354774863928747,0.6656506735333789,0.6831677965210994,0,0,12,1
D|S|3,D,二代接班人,S,3,10,21,3200,4800,18978813,-5561879,0,1,1600,-24540692,11,0.6400000000000001,0.78,0.8,1,0.06400000000000002,0.037142857142857144,1692,3006,1092,2406,322.86,687.1200000000001,4728600,8371200,4.421470279982033,0.3112892925565884,0.560547935607056,0.8408219034105838,0,0,10,1
E|Q|1,E,体制转型者,Q,1,8,12,3800,2800,13521399,-2624959,0,1,-1000,-16146358,4,0.5333333333333333,0.3333333333333333,0.8,0.5,0.06666666666666667,0.027777777777777776,1326,1395,726,795,187.56000000000003,229.50000000000003,3375600,3795000,4.777213761985336,0.29820918764599014,0.6133088009812941,0.4519117480914799,0,1,11,1
E|Q|2,E,体制转型者,Q,2,10,12,2800,2800,51926275,925129,0,0,0,-51001146,2,0.8500000000000001,0.6000000000000001,0.8,0.8,0.085,0.05000000000000001,1572,1770,972,1170,269.46,325.55999999999995,4194600,4755600,11.713790446841294,1.07720918301911,0.4463574047505181,0.4463574047505181,0,0,10,2
E|Q|3,E,体制转型者,Q,3,11,18,2800,2900,1388838,-4830453,0,1,100,-6219291,7,0.4800000000000001,0.42000000000000004,0.8,0.8,0.04363636363636365,0.023333333333333334,1662,1899,1062,1299,308.16,417.54,4581600,5675400,1.115094159258197,0.13718148220190624,0.49203085736376895,0.5096033879839036,0,1,10,1
E|S|1,E,体制转型者,S,1,8,19,3800,3800,29423741,-1020147,0,1,0,-30443888,11,0.64,0.86,0.8,0.8,0.08,0.04526315789473684,1410,2508,810,1908,207.42000000000002,545.28,3574200,6952800,8.791751527494908,0.801453790238837,0.6133088009812941,0.6133088009812941,0,0,11,1
E|S|2,E,体制转型者,S,2,7,12,2900,2900,12764057,-702336,0,1,0,-13466393,5,0.5333333333333333,0.3333333333333333,0.8,0.8,0.07619047619047618,0.027777777777777776,1278,1263,678,663,181.98,218.22000000000003,3319800,3682200,4.388978930307942,0.7711738484398217,0.49216774434431376,0.49216774434431376,0,1,10,1
E|S|3,E,体制转型者,S,3,6,9,4800,4800,55109296,47399262,0,0,0,-7710034,3,0.64,0.76,0.8,1,0.10666666666666667,0.08444444444444445,1197,1707,597,1107,152.39999999999998,310.68000000000006,3024000,4606800,18.4976167778837,10.867147270854788,0.7699340743948799,0.7699340743948799,0,0,12,1
B|Q|1,B,职业经理人,Q,1,10,17,2900,1900,27287884,-13073949,0,1,-1000,-40361833,7,0.68,0.62,0.5,0.8,0.068,0.036470588235294116,1266,1794,666,1194,203.69999999999996,364.44000000000005,3537000,5144400,7.951438848920863,,0.5171276235310901,0.3388077533479556,0,0,10,1
B|Q|2,B,职业经理人,Q,2,9,14,1000,1000,-3163273,-8701038,1,1,0,-5537765,5,0.4,0.4,0.5,0.5,0.044444444444444446,0.028571428571428574,813,1284,213,684,144.66,243.36000000000004,2946600,3933600,,,0.17502406580904875,0.17502406580904875,0,0,10,2
B|Q|3,B,职业经理人,Q,3,9,16,2900,1900,787255,-12059926,0,1,-1000,-12847181,7,0.32000000000000006,0.5800000000000001,0.8,0.8,0.03555555555555556,0.036250000000000004,1353,1968,753,1368,216.36,417.72,3663600,5677200,1.1238501234013911,,0.5075697908462413,0.3325457250371926,0,0,10,1
B|S|1,B,职业经理人,S,1,8,14,1600,2800,159999,4547156,0,0,1200,4387157,6,0.42000000000000004,0.52,0.5,0.8,0.052500000000000005,0.037142857142857144,1041,1374,441,774,133.74,280.56000000000006,2837400,4305600,0.726773506668161,1.8956331141460125,0.27129219865371246,0.4747613476439968,0,0,10,1
B|S|2,B,职业经理人,S,2,9,18,1800,2900,258494,-3984073,0,1,1100,-4242567,9,0.3,0.52,0.5,0.5,0.03333333333333333,0.02888888888888889,792,1704,192,1104,143.58,361.68000000000006,2935800,5116800,1.015773470163436,0.21400957290132547,0.3052037234854265,0.49171711005985386,0,1,10,1
