source_chain_key,persona_id,persona_label,condition,rep,baseline_cards,chat_cards,baseline_price,chat_price,baseline_profit,chat_profit,baseline_loss,chat_loss,price_delta,profit_delta,card_delta,baseline_coverCore,chat_coverCore,baseline_coverNice,chat_coverNice,baseline_coverage_efficiency,chat_coverage_efficiency,baseline_COGS,chat_COGS,baseline_dCOGS,chat_dCOGS,baseline_nre_total_wan,chat_nre_total_wan,baseline_fixedCost,chat_fixedCost,baseline_q_to_breakeven,chat_q_to_breakeven,baseline_price_wtp_ratio,chat_price_wtp_ratio,baseline_double_squeeze,chat_double_squeeze,d4_attempts,d5_attempts
A|Q|1,A,草根老板,Q,1,9,11,3000,1800,-139604,-753814,1,1,-1200,-614210,2,0.3,0.4,0.5,0.5,0.03333333333333333,0.03636363636363637,882,1044,282,444,141.42000000000002,175.32,2914200,3253200,0.9244486156733928,0.6504890895410083,0.5663476241717166,0.3398085745030299,1,1,10,1
A|Q|2,A,草根老板,Q,2,10,12,1000,3900,-4686200,148347,1,0,2900,4834547,2,0.3,0.4,0.5,0.5,0.03,0.03333333333333333,984,1134,384,534,187.32,203.93999999999997,3373200,3539400,,1.0146686899342439,0.18393849096862008,0.7173601147776183,0,0,10,1
A|Q|3,A,草根老板,Q,3,10,12,1500,1900,-1607122,-1393364,1,1,400,213758,2,0.4,0.4,0.5,0.5,0.04,0.03333333333333333,1038,1233,438,633,164.34,196.20000000000002,3143400,3462000,0.3066810583416362,0.46001552795031053,0.2708852530068263,0.34312132047531335,1,1,10,1
A|S|1,A,草根老板,S,1,7,13,2900,2800,1230120,-1917477,0,1,-100,-3147597,6,0.3333333333333333,0.4166666666666667,0.5,0.5,0.047619047619047616,0.032051282051282055,942,1236,342,636,102.78,225.72,2527800,3757200,1.4119941491955144,0.46976316394573464,0.588856400259909,0.5685510071474984,0,1,10,1
A|S|2,A,草根老板,S,2,8,9,2900,1000,1744617,-4987184,0,1,-1900,-6731801,1,0.3,0.4,0.5,0.5,0.0375,0.044444444444444446,828,933,228,333,123.60000000000001,129.24,2736000,2792400,1.5836614173228347,,0.5403995229576626,0.18634466308884914,0,0,10,2
A|S|3,A,草根老板,S,3,9,12,2900,2900,9122023,817781,0,0,0,-8304242,3,0.5,0.4,0.5,0.5,0.05555555555555555,0.03333333333333333,1083,1113,483,513,149.76000000000005,177.66,2997600,3276600,3.7753095411507647,1.1950745301360985,0.540218322715249,0.540218322715249,0,0,11,1
D|Q|1,D,二代接班人,Q,1,9,14,2900,3500,1076205,4843288,0,0,600,3767083,5,0.42000000000000004,0.5800000000000001,0.8,1,0.04666666666666667,0.04142857142857143,1569,1947,969,1347,255.54,381.6000000000001,4055400,5316000,1.1302853727775288,1.7052671853079964,0.5079965666438945,0.6130993045702174,0,0,10,1
D|Q|2,D,二代接班人,Q,2,9,11,3000,3900,-1665878,563208,1,0,900,2229086,2,0.4,0.36000000000000004,0,0.8,0.044444444444444446,0.03272727272727273,1128,1506,528,906,159.12,238.14000000000001,3091200,3881400,0.4473875181422351,1.099049707602339,0.5255136896316149,0.6831677965210994,1,0,10,1
D|Q|3,D,二代接班人,Q,3,8,16,3900,3900,-3283320,-1778565,1,1,0,1504755,8,0.32000000000000006,0.5800000000000001,0,0.8,0.04000000000000001,0.036250000000000004,1404,2085,804,1485,215.57999999999998,419.5799999999999,3655800,5695800,0.10024958402662229,0.6428255419554638,0.6831677965210994,0.6831677965210994,1,1,10,1
D|S|1,D,二代接班人,S,1,9,17,4900,2900,22044351,-13727026,0,1,-2000,-35771377,8,0.6400000000000001,0.7400000000000001,0.8,1,0.07111111111111112,0.043529411764705886,1602,2640,1002,2040,261.96,576.6600000000001,4119600,7266600,6.073943661971831,,0.8583390263983044,0.5079965666438945,0,0,11,1
D|S|2,D,二代接班人,S,2,10,17,3800,3600,10756811,-6029644,0,1,-200,-16786455,7,0.5800000000000001,0.6400000000000001,0.8,0.8,0.05800000000000001,0.03764705882352942,1608,2520,1008,1920,273.66,535.0200000000001,4236600,6850200,3.3182883939038685,0.09288698531150642,0.6656506735333789,0.6306164275579379,0,0,12,1
D|S|3,D,二代接班人,S,3,10,17,3200,4200,18978813,-6339986,0,1,1000,-25318799,7,0.6400000000000001,0.62,0.8,0.8,0.06400000000000002,0.036470588235294116,1692,2709,1092,2109,322.86,595.44,4728600,7454400,4.421470279982033,0.1361216280170374,0.560547935607056,0.7357191654842609,0,0,12,1
E|Q|1,E,体制转型者,Q,1,8,13,3800,2800,13521399,-3198358,0,1,-1000,-16719757,5,0.5333333333333333,0.43333333333333335,0.8,0.8,0.06666666666666667,0.03333333333333333,1326,1812,726,1212,187.56000000000003,322.74,3375600,4727400,4.777213761985336,0.3007329088069206,0.6133088009812941,0.4519117480914799,0,1,11,1
E|Q|2,E,体制转型者,Q,2,10,15,2800,2800,51926275,-2735658,0,1,0,-54661933,5,0.8500000000000001,0.7250000000000001,0.8,0.8,0.085,0.04833333333333334,1572,2145,972,1545,269.46,407.76,4194600,5577600,11.713790446841294,0.40176953865599324,0.4463574047505181,0.4463574047505181,0,0,11,1
E|Q|3,E,体制转型者,Q,3,11,17,2800,2900,1388838,-6859291,0,1,100,-8248129,6,0.4800000000000001,0.68,0.8,0.8,0.04363636363636365,0.04,1662,2286,1062,1686,308.16,474,4581600,6240000,1.115094159258197,,0.49203085736376895,0.5096033879839036,0,0,10,1
E|S|1,E,体制转型者,S,1,8,14,3800,4800,29423741,6477437,0,0,1000,-22946304,6,0.64,0.74,0.8,0.8,0.08,0.05285714285714286,1410,2076,810,1476,207.42000000000002,403.73999999999995,3574200,5537400,8.791751527494908,2.098408104196816,0.6133088009812941,0.7747058538711084,0,0,11,1
E|S|2,E,体制转型者,S,2,7,12,2900,2000,12764057,-3446554,0,1,-900,-16210611,5,0.5333333333333333,0.3833333333333333,0.8,0.8,0.07619047619047618,0.03194444444444444,1278,1470,678,870,181.98,247.68,3319800,3976800,4.388978930307942,0.04777459263729632,0.49216774434431376,0.3394260305822853,0,1,12,1
E|S|3,E,体制转型者,S,3,6,14,4800,5800,55109296,6933855,0,0,1000,-48175441,8,0.64,0.7799999999999999,0.8,0.8,0.10666666666666667,0.05571428571428571,1197,2142,597,1542,152.39999999999998,421.26,3024000,5712600,18.4976167778837,2.1600780868716445,0.7699340743948799,0.9303370065604799,0,0,12,1
B|Q|1,B,职业经理人,Q,1,10,15,2900,1900,27287884,-8904007,0,1,-1000,-36191891,5,0.68,0.52,0.5,0.8,0.068,0.034666666666666665,1266,1719,666,1119,203.69999999999996,346.1400000000001,3537000,4961400,7.951438848920863,,0.5171276235310901,0.3388077533479556,0,0,10,2
B|Q|2,B,职业经理人,Q,2,9,13,1000,1000,-3163273,-8082326,1,1,0,-4919053,4,0.4,0.4,0.5,0.5,0.044444444444444446,0.03076923076923077,813,1179,213,579,144.66,222.84,2946600,3728400,,,0.17502406580904875,0.17502406580904875,0,0,10,2
B|Q|3,B,职业经理人,Q,3,9,16,2900,1900,787255,-13038103,0,1,-1000,-13825358,7,0.32000000000000006,0.5800000000000001,0.8,0.8,0.03555555555555556,0.036250000000000004,1353,2082,753,1482,216.36,446.7,3663600,5967000,1.1238501234013911,,0.5075697908462413,0.3325457250371926,0,0,10,1
B|S|1,B,职业经理人,S,1,8,12,1600,1600,159999,-3089360,0,1,0,-3249359,4,0.42000000000000004,0.3,0.5,0.5,0.052500000000000005,0.024999999999999998,1041,1119,441,519,133.74,202.67999999999998,2837400,3526800,0.726773506668161,0.08856020762040376,0.27129219865371246,0.27129219865371246,0,1,12,1
B|S|2,B,职业经理人,S,2,9,14,1800,1900,258494,-9616188,0,1,100,-9874682,5,0.3,0.62,0.5,0.8,0.03333333333333333,0.04428571428571428,792,1683,192,1083,143.58,321.6,2935800,4716000,1.015773470163436,,0.3052037234854265,0.32215948590128357,0,0,11,2
B|S|3,B,职业经理人,S,3,10,18,2900,2900,-4143648,-9739511,1,1,0,-5595863,8,0.4800000000000001,0.62,0,0.8,0.04800000000000001,0.034444444444444444,1692,2814,1092,2214,310.26,648.9000000000001,4602600,7989000,0.09307450157397691,,0.5075697908462413,0.5075697908462413,1,0,11,1
F|Q|1,F,销售铁军,Q,1,9,12,1200,3300,-4261972,328013,1,0,2100,4589985,3,0.3,0.4,0.5,0.5,0.03333333333333333,0.03333333333333333,1122,1248,522,648,156.60000000000002,209.34,3066000,3593400,,1.0460908159781495,0.21264153952474615,0.584764233693052,0,0,11,1
F|Q|2,F,销售铁军,Q,2,10,18,2900,2900,4826421,-8199769,0,1,0,-13026190,8,0.42000000000000004,0.68,0.8,0.8,0.042,0.03777777777777778,1443,2382,843,1782,236.82,514.98,3868200,6649800,2.040302743614002,,0.5138837205181366,0.5138837205181366,0,0,12,1
F|Q|3,F,销售铁军,Q,3,11,12,3900,2900,32630514,-3310256,0,1,-1000,-35940770,1,0.7400000000000001,0.56,0.8,0.5,0.06727272727272728,0.04666666666666667,1728,1872,1128,1272,323.15999999999997,385.56,4731600,5355600,7.313685808246901,0.31653088934148,0.691085003455425,0.5138837205181366,0,1,12,1
F|S|1,F,销售铁军,S,1,10,16,2500,2900,-1823278,-5226878,1,1,400,-3403600,6,0.6400000000000001,0.7400000000000001,0.8,0.8,0.06400000000000002,0.046250000000000006,1833,2196,1233,1596,347.15999999999997,476.21999999999997,4971600,6262200,0.20647619369445477,,0.43756016452262186,0.5075697908462413,0,0,11,2
F|S|2,F,销售铁军,S,2,10,15,2900,2900,2520654,-12011037,0,1,0,-14531691,5,0.4800000000000001,0.8200000000000001,0.8,1,0.04800000000000001,0.05466666666666667,1572,2409,972,1809,268.26,535.38,4182600,6853800,1.4181923021479026,,0.5107072414764723,0.5107072414764723,0,0,11,1
F|S|3,F,销售铁军,S,3,10,17,2900,2800,31831788,-12782811,0,1,-100,-44614599,7,0.8000000000000002,0.8000000000000002,0.8,0.9,0.08000000000000002,0.04705882352941177,1677,2466,1077,1866,306.65999999999997,548.52,4566600,6985200,6.557797164667393,,0.5075697908462413,0.49006738426533647,0,0,13,1
C|Q|1,C,技术创业者,Q,1,7,11,2000,2000,1505149,-2238473,0,1,0,-3743622,4,0.43333333333333335,0.43333333333333335,0.5,0.6,0.06190476190476191,0.0393939393939394,1104,1440,504,840,129.12,224.4,2791200,3744000,1.3815115286080273,0.3282638888888889,0.31812686899535536,0.31812686899535536,0,1,10,1
C|Q|2,C,技术创业者,Q,2,8,12,1500,5000,-1686406,-2002310,1,1,3500,-315904,4,0.3333333333333333,0.4666666666666666,0.5,0.5,0.041666666666666664,0.03888888888888888,1002,1248,402,648,116.82000000000001,233.76,2668200,3837600,0.24736089982943807,0.4706649282920469,0.25568908207619534,0.8522969402539845,1,1,10,1
C|Q|3,C,技术创业者,Q,3,7,9,2400,5000,37595451,4845400,0,0,2600,-32750051,2,0.5800000000000001,0.45999999999999996,0.8,0.5,0.08285714285714287,0.05111111111111111,1107,1068,507,468,130.32,146.82000000000002,2803200,2968200,12.992013311148087,2.5734190782422295,0.3865107739878249,0.8052307791413019,0,0,10,1
C|S|1,C,技术创业者,S,1,7,13,2200,2900,1745810,-2896360,0,1,700,-4642170,6,0.42000000000000004,0.3,0.5,0.5,0.060000000000000005,0.023076923076923075,1098,1359,498,759,144.18,246.60000000000002,2941800,3966000,1.4165103189493433,0.25900020571898785,0.37270447923019584,0.4912922680761672,0,1,10,1
C|S|2,C,技术创业者,S,2,8,13,2900,2900,18895984,6141744,0,0,0,-12754240,5,0.52,0.62,0.8,0.8,0.065,0.047692307692307694,1209,1644,609,1044,179.22,316.26,3292200,4662600,6.196831915517747,2.030975970846145,0.5005523336095001,0.5005523336095001,0,0,12,1
C|S|3,C,技术创业者,S,3,6,13,2800,2800,2464419,-2293057,0,1,0,-4757476,7,0.3,0.4,0.5,0.5,0.049999999999999996,0.03076923076923077,888,1395,288,795,84.96000000000001,247.14000000000001,2349600,3971400,1.9427539969056216,0.4009584664536741,0.4743511553838856,0.4743511553838856,0,1,12,1
G|Q|1,G,互联网PM转型,Q,1,10,12,1900,2000,-83858,-1703386,1,1,100,-1619528,2,0.3,0.3,0.5,0.5,0.03,0.024999999999999998,942,1119,342,519,159.78000000000003,209.16,3097800,3591600,0.9028687246647957,0.4795799299883314,0.33298282509638977,0.3505082369435682,1,1,12,1
G|Q|2,G,互联网PM转型,Q,2,8,11,2800,2800,10208153,2785673,0,0,0,-7422480,3,0.5800000000000001,0.5800000000000001,0.5,0.5,0.07250000000000001,0.052727272727272734,1179,1434,579,834,157.14000000000004,230.04000000000002,3071400,3800400,4.064112587959343,1.6244400199104032,0.4461653680067562,0.4461653680067562,0,0,11,1
G|Q|3,G,互联网PM转型,Q,3,6,9,1500,1500,-1294037,-221444,1,1,0,1072593,3,0.3,0.4800000000000001,0,0.8,0.049999999999999996,0.053333333333333344,708,1137,108,537,85.61999999999999,217.56,2356200,3675600,0.4294995187680462,0.6496714848883048,0.24348672997321646,0.24348672997321646,1,1,11,1
