source_chain_key,persona_id,persona_label,condition,rep,baseline_cards,chat_cards,baseline_price,chat_price,baseline_profit,chat_profit,baseline_loss,chat_loss,price_delta,profit_delta,card_delta,baseline_coverCore,chat_coverCore,baseline_coverNice,chat_coverNice,baseline_coverage_efficiency,chat_coverage_efficiency,baseline_COGS,chat_COGS,baseline_dCOGS,chat_dCOGS,baseline_nre_total_wan,chat_nre_total_wan,baseline_fixedCost,chat_fixedCost,baseline_q_to_breakeven,chat_q_to_breakeven,baseline_price_wtp_ratio,chat_price_wtp_ratio,baseline_double_squeeze,chat_double_squeeze,d4_attempts,d5_attempts
A|Q|1,A,草根老板,Q,1,9,13,3000,1200,-139604,-5133653,1,1,-1800,-4994049,4,0.3,0.4,0.5,0.5,0.03333333333333333,0.03076923076923077,882,1143,282,543,141.42000000000002,210.06,2914200,3600600,0.9244486156733928,,0.5663476241717166,0.22653904966868663,1,0,6,1
A|Q|2,A,草根老板,Q,2,10,10,1000,1500,-4686200,-2083097,1,1,500,2603103,0,0.3,0.4,0.5,0.5,0.03,0.04,984,1098,384,498,187.32,163.26,3373200,3132600,,0.09793747791386191,0.18393849096862008,0.2759077364529301,0,1,6,1
A|Q|3,A,草根老板,Q,3,10,9,1500,1600,-1607122,238995,1,0,100,1846117,-1,0.4,0.4,0.5,0.5,0.04,0.044444444444444446,1038,1044,438,444,164.34,145.44000000000003,3143400,2954400,0.3066810583416362,0.7465547283383495,0.2708852530068263,0.28894426987394806,1,0,6,1
A|S|1,A,草根老板,S,1,7,13,2900,2800,1230120,-1580168,0,1,-100,-2810288,6,0.3333333333333333,0.4166666666666667,0.5,0.5,0.047619047619047616,0.032051282051282055,942,1194,342,594,102.78,221.58,2527800,3715800,1.4119941491955144,0.5499756216479766,0.588856400259909,0.5685510071474984,0,1,6,1
A|S|2,A,草根老板,S,2,8,10,2900,3900,1744617,3231421,0,0,1000,1486804,2,0.3,0.4,0.5,0.5,0.0375,0.04,828,1089,228,489,123.60000000000001,162.36,2736000,3123600,1.5836614173228347,1.963572267920094,0.5403995229576626,0.7267441860465117,0,0,6,1
A|S|3,A,草根老板,S,3,9,15,2900,1900,9122023,-5850412,0,1,-1000,-14972435,6,0.5,0.62,0.5,0.5,0.05555555555555555,0.04133333333333333,1083,1581,483,981,149.76000000000005,301.02000000000004,2997600,4510200,3.7753095411507647,,0.540218322715249,0.3539361424686115,0,0,6,1
D|Q|1,D,二代接班人,Q,1,9,15,2900,3900,1076205,-591463,0,1,1000,-1667668,6,0.42000000000000004,0.5800000000000001,0.8,0.8,0.04666666666666667,0.03866666666666667,1569,2019,969,1419,255.54,407.94000000000005,4055400,5579400,1.1302853727775288,0.8364994317259296,0.5079965666438945,0.6831677965210994,0,1,6,1
D|Q|2,D,二代接班人,Q,2,9,10,3000,3900,-1665878,6239410,1,0,900,7905288,1,0.4,0.4,0,0.8,0.044444444444444446,0.04,1128,1299,528,699,159.12,200.94000000000003,3091200,3509400,0.4473875181422351,2.66049096804076,0.5255136896316149,0.6831677965210994,1,0,6,1
D|Q|3,D,二代接班人,Q,3,8,13,3900,3900,-3283320,-1747830,1,1,0,1535490,5,0.32000000000000006,0.42000000000000004,0,0.8,0.04000000000000001,0.03230769230769231,1404,1821,804,1221,215.57999999999998,336.18,3655800,4861800,0.10024958402662229,0.6069482288828338,0.6831677965210994,0.6831677965210994,1,1,6,1
D|S|1,D,二代接班人,S,1,9,17,4900,4900,22044351,-2783961,0,1,0,-24828312,8,0.6400000000000001,0.6400000000000001,0.8,1,0.07111111111111112,0.03764705882352942,1602,2535,1002,1935,261.96,544.0800000000002,4119600,6940800,6.073943661971831,0.5690589587781245,0.8583390263983044,0.8583390263983044,0,0,6,1
