source_chain_key,persona_id,persona_label,condition,rep,baseline_cards,chat_cards,baseline_price,chat_price,baseline_profit,chat_profit,baseline_loss,chat_loss,price_delta,profit_delta,card_delta,d4_attempts,d5_attempts
A|Q|1,A,草根老板,Q,1,9,8,3000,2900,-139604,-896732,1,1,-100,-757128,-1,1,1
A|Q|2,A,草根老板,Q,2,10,11,1000,1800,-4686200,422790,1,0,800,5108990,1,1,1
A|Q|3,A,草根老板,Q,3,10,10,1500,2600,-1607122,-1667376,1,1,1100,-60254,0,1,1
A|S|1,A,草根老板,S,1,7,6,2900,2800,1230120,3112620,0,0,-100,1882500,-1,1,1
A|S|2,A,草根老板,S,2,8,8,2900,2000,1744617,5543946,0,0,-900,3799329,0,1,1
A|S|3,A,草根老板,S,3,9,9,2900,1500,9122023,836317,0,0,-1400,-8285706,0,1,1
D|Q|1,D,二代接班人,Q,1,9,11,2900,4300,1076205,1161090,0,0,1400,84885,2,1,1
D|Q|2,D,二代接班人,Q,2,9,9,3000,3800,-1665878,2585195,1,0,800,4251073,0,1,1
D|Q|3,D,二代接班人,Q,3,8,7,3900,3800,-3283320,-1993258,1,1,-100,1290062,-1,2,1
D|S|1,D,二代接班人,S,1,9,10,4900,3600,22044351,9148129,0,0,-1300,-12896222,1,1,1
D|S|2,D,二代接班人,S,2,10,9,3800,2600,10756811,8332911,0,0,-1200,-2423900,-1,1,1
D|S|3,D,二代接班人,S,3,10,10,3200,4000,18978813,17396465,0,0,800,-1582348,0,1,1
E|Q|1,E,体制转型者,Q,1,8,8,3800,4800,13521399,5116913,0,0,1000,-8404486,0,1,1
E|Q|2,E,体制转型者,Q,2,10,9,2800,3800,51926275,19772541,0,0,1000,-32153734,-1,1,1
E|Q|3,E,体制转型者,Q,3,11,10,2800,3000,1388838,7246201,0,0,200,5857363,-1,1,1
E|S|1,E,体制转型者,S,1,8,8,3800,4200,29423741,29302651,0,0,400,-121090,0,1,1
E|S|2,E,体制转型者,S,2,7,7,2900,1800,12764057,1281066,0,0,-1100,-11482991,0,1,1
E|S|3,E,体制转型者,S,3,6,6,4800,4800,55109296,3679994,0,0,0,-51429302,0,2,1
B|Q|1,B,职业经理人,Q,1,10,9,2900,2000,27287884,2002994,0,0,-900,-25284890,-1,1,1
B|Q|2,B,职业经理人,Q,2,9,9,1000,1300,-3163273,95484,1,0,300,3258757,0,1,1
B|Q|3,B,职业经理人,Q,3,9,8,2900,1300,787255,-3120755,0,1,-1600,-3908010,-1,1,1
B|S|1,B,职业经理人,S,1,8,9,1600,1000,159999,-2954139,0,1,-600,-3114138,1,1,1
B|S|2,B,职业经理人,S,2,9,8,1800,1600,258494,246544,0,0,-200,-11950,-1,1,1
B|S|3,B,职业经理人,S,3,10,10,2900,2000,-4143648,-4756969,1,1,-900,-613321,0,1,1
F|Q|1,F,销售铁军,Q,1,9,9,1200,1600,-4261972,-2477425,1,1,400,1784547,0,1,1
F|Q|2,F,销售铁军,Q,2,10,9,2900,2900,4826421,15542330,0,0,0,10715909,-1,1,1
F|Q|3,F,销售铁军,Q,3,11,9,3900,2800,32630514,-293322,0,1,-1100,-32923836,-2,1,1
F|S|1,F,销售铁军,S,1,10,9,2500,3000,-1823278,27835572,1,0,500,29658850,-1,1,1
F|S|2,F,销售铁军,S,2,10,10,2900,3600,2520654,14223278,0,0,700,11702624,0,1,1
F|S|3,F,销售铁军,S,3,10,9,2900,3000,31831788,3214422,0,0,100,-28617366,-1,1,1
C|Q|1,C,技术创业者,Q,1,7,7,2000,3500,1505149,1443704,0,0,1500,-61445,0,1,1
C|Q|2,C,技术创业者,Q,2,8,7,1500,1500,-1686406,-911575,1,1,0,774831,-1,1,1
C|Q|3,C,技术创业者,Q,3,7,7,2400,5900,37595451,4683149,0,0,3500,-32912302,0,1,1
C|S|1,C,技术创业者,S,1,7,9,2200,2000,1745810,2426450,0,0,-200,680640,2,2,1
C|S|2,C,技术创业者,S,2,8,9,2900,3000,18895984,1989625,0,0,100,-16906359,1,1,1
C|S|3,C,技术创业者,S,3,6,8,2800,3300,2464419,-130582,0,1,500,-2595001,2,1,1
G|Q|2,G,互联网PM转型,Q,2,8,8,2800,1500,10208153,270380,0,0,-1300,-9937773,0,1,1
G|Q|3,G,互联网PM转型,Q,3,6,7,1500,4000,-1294037,-1058591,1,1,2500,235446,1,1,1
G|S|1,G,互联网PM转型,S,1,8,7,2900,2400,4759216,741220,0,0,-500,-4017996,-1,1,1
G|S|2,G,互联网PM转型,S,2,8,8,2900,1500,9830187,-1829390,0,1,-1400,-11659577,0,1,1
G|S|3,G,互联网PM转型,S,3,9,7,2900,2000,3749122,1017208,0,0,-900,-2731914,-2,1,1
