source_chain_key,persona_id,persona_label,condition,rep,baseline_cards,chat_cards,baseline_price,chat_price,baseline_profit,chat_profit,baseline_loss,chat_loss,price_delta,profit_delta,card_delta,baseline_coverCore,chat_coverCore,baseline_coverNice,chat_coverNice,baseline_coverage_efficiency,chat_coverage_efficiency,baseline_COGS,chat_COGS,baseline_dCOGS,chat_dCOGS,baseline_nre_total_wan,chat_nre_total_wan,baseline_fixedCost,chat_fixedCost,baseline_q_to_breakeven,chat_q_to_breakeven,baseline_price_wtp_ratio,chat_price_wtp_ratio,baseline_double_squeeze,chat_double_squeeze,d4_attempts,d5_attempts
A|Q|1,A,草根老板,Q,1,9,9,3000,1200,-139604,-1474390,1,1,-1800,-1334786,0,0.3,0.4,0.5,0.5,0.03333333333333333,0.044444444444444446,882,813,282,213,141.42000000000002,144.66000000000003,2914200,2946600,0.9244486156733928,0.3169565089019457,0.5663476241717166,0.22653904966868663,1,1,2,1
A|Q|2,A,草根老板,Q,2,10,10,1000,1200,-4686200,-4457918,1,1,200,228282,0,0.3,0.42000000000000004,0.5,0.5,0.03,0.042,984,1041,384,441,187.32,191.15999999999997,3373200,3411600,,,0.18393849096862008,0.2207261891623441,0,0,1,1
A|Q|3,A,草根老板,Q,3,10,10,1500,2900,-1607122,-1740408,1,1,1400,-133286,0,0.4,0.4,0.5,0,0.04,0.04,1038,939,438,339,164.34,179.94000000000003,3143400,3299400,0.3066810583416362,0.4632958801498127,0.2708852530068263,0.5237114891465309,1,1,1,1
A|S|1,A,草根老板,S,1,7,9,2900,2900,1230120,-304075,0,1,0,-1534195,2,0.3333333333333333,0.3333333333333333,0.5,0.5,0.047619047619047616,0.037037037037037035,942,822,342,222,102.78,146.10000000000002,2527800,2961000,1.4119941491955144,0.8716308816811329,0.588856400259909,0.588856400259909,0,1,1,1
A|S|2,A,草根老板,S,2,8,8,2900,1600,1744617,228433,0,0,-1300,-1516184,0,0.3,0.3,0.5,0.5,0.0375,0.0375,828,783,228,183,123.60000000000001,134.58,2736000,2845800,1.5836614173228347,0.9831501831501831,0.5403995229576626,0.29815146094215866,0,0,1,1
A|S|3,A,草根老板,S,3,9,10,2900,2900,9122023,2956169,0,0,0,-6165854,1,0.5,0.4,0.5,0.5,0.05555555555555555,0.04,1083,912,483,312,149.76000000000005,152.94000000000003,2997600,3029400,3.7753095411507647,1.9012088370154232,0.540218322715249,0.540218322715249,0,0,1,1
D|Q|1,D,二代接班人,Q,1,9,10,2900,3900,1076205,955975,0,0,1000,-120230,1,0.42000000000000004,0.42000000000000004,0.8,0.8,0.04666666666666667,0.042,1569,1644,969,1044,255.54,300.84,4055400,4508400,1.1302853727775288,1.1480113636363636,0.5079965666438945,0.6831677965210994,0,0,1,1
D|Q|2,D,二代接班人,Q,2,9,7,3000,3900,-1665878,1513521,1,0,900,3179399,-2,0.4,0.3,0,0.5,0.044444444444444446,0.04285714285714286,1128,1014,528,414,159.12,115.92,3091200,2659200,0.4473875181422351,1.5208333333333333,0.5255136896316149,0.6831677965210994,1,0,1,2
D|Q|3,D,二代接班人,Q,3,8,8,3900,3800,-3283320,7607125,1,0,-100,10890445,0,0.32000000000000006,0.42000000000000004,0,0.8,0.04000000000000001,0.052500000000000005,1404,1314,804,714,215.57999999999998,183.72,3655800,3337200,0.10024958402662229,3.121030832949839,0.6831677965210994,0.6656506735333789,1,0,1,1
D|S|1,D,二代接班人,S,1,9,10,4900,4900,22044351,12092999,0,0,0,-9951352,1,0.6400000000000001,0.5800000000000001,0.8,0.8,0.07111111111111112,0.05800000000000001,1602,1617,1002,1017,261.96,271.14000000000004,4119600,4211400,6.073943661971831,3.7166585246702493,0.8583390263983044,0.8583390263983044,0,0,1,1
