grid,coverCore_condition,coverCore,p_star,max_profit,breakeven_low,breakeven_high,window_width,actual_price_7_10,actual_profit_7_10,reported_profit_7_10,distance_to_p_star,p_star_at_boundary,actual_units_at_condition,vp_C,vp_G,vp_E
ToB_Differentiation_Elder,actual_7_10,0.5333333333333333,3900,16286588,1700,7000,5300,5000,14835167,14835167,1100,false,6216,5,5,5
ToB_Differentiation_Elder,low_0.35,0.35,3700,2423474,2200,6600,4400,5000,1691043,14835167,1300,false,1808,5,5,5
ToB_Differentiation_Elder,mid_0.50,0.5,3900,12452637,1800,7000,5200,5000,11156106,14835167,1100,false,4985,5,5,5
ToB_Differentiation_Elder,high_0.65,0.65,4100,38092282,1600,7000,5400,5000,36042461,14835167,900,false,13292,5,5,5
ToB_Differentiation_Adult,actual_7_10,0.43333333333333335,3900,-1131019,,,0,4000,-1133093,-1133093,100,false,1543,5,5,4.5
ToB_Differentiation_Adult,low_0.35,0.35,3800,-2422079,,,0,4000,-2429038,-1133093,200,false,879,5,5,4.5
ToB_Differentiation_Adult,mid_0.50,0.5,4000,547934,3100,5300,2200,4000,547934,-1133093,0,false,2401,5,5,4.5
ToB_Differentiation_Adult,high_0.65,0.65,4200,8370430,2100,7000,4900,4000,8324969,-1133093,-200,false,6345,5,5,4.5
ToB_Differentiation_Child,actual_7_10,0.62,3900,9999676,1800,7000,5200,4000,9982522,9982522,100,false,6554,5,5,5
ToB_Differentiation_Child,low_0.35,0.35,3500,-1512480,,,0,4000,-1567229,9982522,500,false,1077,5,5,5
ToB_Differentiation_Child,mid_0.50,0.5,3700,2473233,2200,6600,4400,4000,2426916,9982522,300,false,2979,5,5,5
ToB_Differentiation_Child,high_0.65,0.65,3900,12966475,1800,7000,5200,4000,12957625,9982522,100,false,7957,5,5,5
ToB_Cost_Elder,actual_7_10,0.5,3000,5300801,1700,6400,4700,4000,4333616,4333616,1000,false,3493,5,4.8,3.4
ToB_Cost_Elder,low_0.35,0.35,3100,309255,2500,3800,1300,4000,-99671,4333616,900,false,1527,5,4.8,3.4
ToB_Cost_Elder,mid_0.50,0.5,3000,5300801,1700,6400,4700,4000,4333616,4333616,1000,false,3493,5,4.8,3.4
ToB_Cost_Elder,high_0.65,0.65,3000,16798130,1500,7000,5500,4000,14523456,4333616,1000,false,7983,5,4.8,3.4
ToB_Cost_Adult,actual_7_10,0.4800000000000001,3100,8432406,1400,7000,5600,3000,8425292,8425292,-100,false,7243,5,4.6,5
ToB_Cost_Adult,low_0.35,0.35,3100,2580413,1700,6100,4400,3000,2575179,8425292,-100,false,3540,5,4.6,5
ToB_Cost_Adult,mid_0.50,0.5,3100,9768797,1400,7000,5600,3000,9761373,8425292,-100,false,8085,5,4.6,5
ToB_Cost_Adult,high_0.65,0.65,3100,26246544,1300,7000,5700,3000,26235107,8425292,-100,false,18407,5,4.6,5
ToB_Cost_Child,actual_7_10,0.48571428571428577,3200,9036509,1700,7000,5300,3000,8926125,8926125,-200,false,9237,5,5,5
ToB_Cost_Child,low_0.35,0.35,3200,2415761,2000,5700,3700,3000,2358418,8926125,-200,false,4373,5,5,5
ToB_Cost_Child,mid_0.50,0.5,3200,10069632,1700,7000,5300,3000,9951309,8926125,-200,false,9992,5,5,5
ToB_Cost_Child,high_0.65,0.65,3200,27658427,1500,7000,5500,3000,27408803,8926125,-200,false,22770,5,5,5
ToC_Differentiation_Elder,actual_7_10,0.5800000000000001,4200,9291041,2300,7000,4700,3200,7441777,7441777,-1000,false,12499,5,5,5
ToC_Differentiation_Elder,low_0.35,0.35,3900,-1206368,,,0,3200,-1479323,7441777,-700,false,2872,5,5,5
ToC_Differentiation_Elder,mid_0.50,0.5,4100,3800253,2600,7000,4400,3200,2829154,7441777,-900,false,7550,5,5,5
ToC_Differentiation_Elder,high_0.65,0.65,4300,17041872,2200,7000,4800,3200,13835976,7441777,-1100,false,19304,5,5,5
ToC_Differentiation_Adult,actual_7_10,0.5615384615384615,4100,20217941,1900,7000,5100,3000,16784925,16784925,-1100,false,20794,3.8,5,4.7
ToC_Differentiation_Adult,low_0.35,0.35,3900,2297569,2400,6600,4200,3000,1675254,16784925,-900,false,5581,3.8,5,4.7
ToC_Differentiation_Adult,mid_0.50,0.5,4000,12371908,2000,7000,5000,3000,10255780,16784925,-1000,false,14257,3.8,5,4.7
ToC_Differentiation_Adult,high_0.65,0.65,4200,38350827,1800,7000,5200,3000,31565010,16784925,-1200,false,35474,3.8,5,4.7
ToC_Differentiation_Child,actual_7_10,0.42000000000000004,4200,952540,3100,5800,2700,5000,634776,634776,800,false,2180,5,5,5
ToC_Differentiation_Child,low_0.35,0.35,4100,-998594,,,0,5000,-1248483,634776,900,false,1333,5,5,5
ToC_Differentiation_Child,mid_0.50,0.5,4200,4615773,2600,7000,4400,5000,4210744,634776,800,false,3781,5,5,5
ToC_Differentiation_Child,high_0.65,0.65,4400,19482821,2200,7000,4800,5000,18922636,634776,600,false,10332,5,5,5
ToC_Cost_Elder,actual_7_10,0.4,2100,5151524,1100,4900,3800,1000,-1321296,-1321296,-1100,false,21486,4.9,3.7,4.1
ToC_Cost_Elder,low_0.35,0.35,2100,3268874,1200,4400,3200,1000,-1693304,-1321296,-1100,false,16333,4.9,3.7,4.1
ToC_Cost_Elder,mid_0.50,0.5,2100,10935537,1100,5800,4700,1000,-70291,-1321296,-1100,false,37108,4.9,3.7,4.1
ToC_Cost_Elder,high_0.65,0.65,2100,28598480,1000,7000,6000,1000,4256507,-1321296,-1100,false,83482,4.9,3.7,4.1
ToC_Cost_Adult,actual_7_10,0.4375,2400,355846,1900,3100,1200,4000,-696772,-696772,1600,false,994,5,4.5,5
ToC_Cost_Adult,low_0.35,0.35,2500,-887980,,,0,4000,-1525760,-696772,1500,false,613,5,4.5,5
ToC_Cost_Adult,mid_0.50,0.5,2400,1703163,1600,4100,2500,4000,197751,-696772,1600,false,1404,5,4.5,5
ToC_Cost_Adult,high_0.65,0.65,2400,7710062,1300,5800,4500,4000,4167742,-696772,1600,false,3213,5,4.5,5
ToC_Cost_Child,actual_7_10,0.5,2700,1474356,1900,4000,2100,2000,524843,524843,-700,false,8810,3.7,5,4.2
ToC_Cost_Child,low_0.35,0.35,2700,-1312791,,,0,2000,-1751426,524843,-700,false,3854,3.7,5,4.2
ToC_Cost_Child,mid_0.50,0.5,2700,1474356,1900,4000,2100,2000,524843,524843,-700,false,8810,3.7,5,4.2
ToC_Cost_Child,high_0.65,0.65,2600,7944520,1600,5600,4000,2000,5879027,524843,-600,false,20098,3.7,5,4.2
